Date,Alloy,Sector,BuyerID,Quantity_kg,UnitPrice_INR,Region
2022-12-30,Aluminum,Automotive,CUST7939,2303.36,449.99,EU
2019-10-23,Zirconium,Biomedical,CUST2612,355.86,1992.46,India North
2021-04-03,Zirconium,Biomedical,CUST2790,1973.3,543.62,EU
2020-09-04,Titanium,Aerospace,CUST8350,1032.23,1079.05,US West
2020-06-07,Zirconium,Aerospace,CUST8579,909.36,935.71,EU
2022-02-26,Titanium,Automotive,CUST2604,794.53,1281.6,US West
2024-02-10,Aluminum,Biomedical,CUST2528,460.9,1833.04,India North
2023-02-12,Titanium,Aerospace,CUST8956,585.07,1920.22,EU
2020-07-07,Titanium,Automotive,CUST3697,554.35,1656.21,India North
2020-09-11,Titanium,Automotive,CUST8454,573.46,1987.11,EU
2021-06-29,Zirconium,Biomedical,CUST8973,610.24,1417.49,US West
2021-03-19,Titanium,Automotive,CUST1958,561.25,1835.8,India North
2021-07-01,Aluminum,Biomedical,CUST6138,2615.32,431.67,India North
2022-10-28,Titanium,Biomedical,CUST9238,854.65,1260.6,EU
2019-12-31,Aluminum,Aerospace,CUST9320,897.9,1979.2,India North
2019-01-06,Titanium,Aerospace,CUST2113,975.46,441.2,US West
2023-05-20,Titanium,Automotive,CUST5033,2474.87,354.34,India North
2021-07-13,Aluminum,Aerospace,CUST2343,1048.87,574.34,US West
2022-09-28,Aluminum,Biomedical,CUST9565,2357.29,560.46,US West
2024-04-28,Zirconium,Aerospace,CUST6147,766.52,1667.33,US West
2023-06-11,Zirconium,Automotive,CUST5915,1450.91,680.13,India North
2019-06-08,Zirconium,Aerospace,CUST8508,782.22,1947.46,India North
2022-06-23,Aluminum,Aerospace,CUST9808,874.34,1779.17,India North
2019-05-18,Aluminum,Automotive,CUST6718,606.84,1773.11,India North
2019-02-13,Titanium,Aerospace,CUST5669,784.26,1453.94,EU
2022-09-17,Zirconium,Biomedical,CUST5956,1777.62,575.5,US West
2019-07-16,Aluminum,Biomedical,CUST5905,602.14,1293.05,India North
2019-07-19,Titanium,Aerospace,CUST2891,1042.67,1229.41,EU
2021-09-23,Titanium,Biomedical,CUST3546,1047.55,1022.5,US West
2020-02-01,Zirconium,Biomedical,CUST6617,1711.34,653.25,India North
2022-05-29,Aluminum,Biomedical,CUST9280,969.35,1055.61,EU
2020-09-01,Zirconium,Aerospace,CUST7939,768.76,1698.41,India North
2023-07-04,Zirconium,Aerospace,CUST6464,815.58,2074.04,India North
2023-05-26,Titanium,Biomedical,CUST3647,2403.51,455.7,EU
2019-06-04,Zirconium,Biomedical,CUST8007,522.76,2003.48,US West
2024-02-02,Titanium,Aerospace,CUST3442,855.96,1888.41,India North
2023-02-14,Titanium,Automotive,CUST3426,1338.4,628.07,US West
2021-01-27,Titanium,Aerospace,CUST6974,906.44,1216.65,EU
2023-05-19,Titanium,Automotive,CUST5088,734.3,1456.87,India North
2020-07-07,Titanium,Automotive,CUST7658,546.85,2005.94,US West
2022-08-27,Aluminum,Aerospace,CUST3662,710.42,2167.91,India North
2021-04-29,Titanium,Automotive,CUST3938,592.42,2025.82,India North
2020-02-07,Zirconium,Automotive,CUST5065,873.66,1305.06,US West
2023-12-17,Titanium,Biomedical,CUST7267,592.52,1661.98,India North
2022-12-11,Titanium,Automotive,CUST4269,1386.12,720.63,India North
2023-11-11,Zirconium,Automotive,CUST4728,1122.49,756.49,EU
2019-10-29,Titanium,Biomedical,CUST7528,891.47,1161.54,India North
2019-09-29,Zirconium,Aerospace,CUST6753,1012.65,1188.53,EU
2024-04-01,Aluminum,Automotive,CUST9785,648.59,1815.55,US West
2021-11-28,Titanium,Aerospace,CUST3925,1187.2,772.59,EU
2019-09-22,Zirconium,Aerospace,CUST8119,971.7,856.92,India North
2023-08-02,Aluminum,Automotive,CUST9379,1093.56,855.35,EU
2023-03-11,Zirconium,Biomedical,CUST5173,1567.74,737.61,India North
2023-06-14,Aluminum,Automotive,CUST9518,1613.5,543.29,India North
2020-06-03,Aluminum,Biomedical,CUST4228,502.6,1682.5,US West
2021-07-16,Zirconium,Aerospace,CUST6409,828.46,2056.76,US West
2020-06-29,Zirconium,Biomedical,CUST5920,753.64,1401.67,India North
2020-06-25,Zirconium,Biomedical,CUST6344,1170.65,826.13,EU
2020-05-22,Aluminum,Automotive,CUST3085,815.56,1632.99,US West
2020-10-18,Zirconium,Biomedical,CUST3851,1282.17,759.29,EU
2022-12-19,Aluminum,Automotive,CUST9977,675.28,1602.59,EU
2020-09-14,Titanium,Automotive,CUST4443,837.96,1492.79,EU
2023-03-15,Aluminum,Biomedical,CUST6279,807.75,1194.2,US West
2019-04-26,Zirconium,Automotive,CUST4501,654.77,1907.35,US West
2020-02-26,Zirconium,Biomedical,CUST2389,414.5,1832.5,India North
2022-11-12,Aluminum,Biomedical,CUST6491,848.59,1101.25,US West
2019-05-21,Titanium,Biomedical,CUST4680,475.79,1878.5,EU
2022-09-15,Titanium,Aerospace,CUST1757,703.81,1841.28,India North
2023-11-19,Zirconium,Biomedical,CUST8461,867.64,1003.93,India North
2020-05-08,Aluminum,Biomedical,CUST7291,2185.69,552.17,India North
2024-04-16,Zirconium,Aerospace,CUST1090,812.22,1819.61,India North
2024-05-28,Titanium,Automotive,CUST3881,561.48,1931.95,India North
2020-07-13,Aluminum,Biomedical,CUST1822,967.27,990.97,EU
2019-09-08,Titanium,Aerospace,CUST3184,1423.37,536.39,EU
2023-09-14,Zirconium,Biomedical,CUST6198,597.79,1658.92,US West
2021-05-30,Zirconium,Biomedical,CUST9270,962.65,1085.62,US West
2022-02-24,Aluminum,Automotive,CUST8777,1011.02,972.18,India North
2019-01-08,Zirconium,Aerospace,CUST5543,765.64,1370.88,US West
2024-03-19,Aluminum,Automotive,CUST4919,714.87,1518.78,US West
2020-12-27,Zirconium,Aerospace,CUST5681,975.58,966.73,US West
2023-05-12,Zirconium,Automotive,CUST9849,723.75,1180.88,EU
2019-04-28,Titanium,Aerospace,CUST7275,1151.11,1117.47,India North
2021-03-08,Titanium,Biomedical,CUST2052,574.79,1705.54,India North
2023-12-31,Zirconium,Automotive,CUST8633,1240.6,812.42,US West
2024-01-06,Titanium,Aerospace,CUST7381,728.64,1477.63,EU
2019-08-01,Aluminum,Biomedical,CUST7232,856.21,1249.21,India North
2019-11-12,Titanium,Automotive,CUST7389,1020.37,930.5,EU
2019-10-01,Zirconium,Biomedical,CUST9947,1975.49,545.2,US West
2021-04-29,Aluminum,Aerospace,CUST4595,900.55,1613.68,EU
2023-04-30,Zirconium,Automotive,CUST7371,663.36,1699.91,India North
2024-02-22,Aluminum,Biomedical,CUST3704,3185.74,446.28,EU
2020-03-22,Zirconium,Aerospace,CUST9751,684.16,2155.74,US West
2022-07-30,Zirconium,Biomedical,CUST1444,689.03,1334.76,US West
2019-11-25,Aluminum,Automotive,CUST8564,650.07,1431.8,India North
2022-11-09,Titanium,Automotive,CUST6363,531.56,1860.02,EU
2021-11-06,Zirconium,Automotive,CUST7211,864.68,1265.43,EU
2020-02-23,Zirconium,Automotive,CUST8705,646.88,1723.27,India North
2023-03-15,Aluminum,Biomedical,CUST6733,1287.52,914.65,India North
2022-12-31,Aluminum,Aerospace,CUST1659,717.55,2151.42,US West
2021-09-03,Titanium,Aerospace,CUST1333,1223.27,868.86,India North
2022-01-12,Titanium,Aerospace,CUST8758,795.49,1702.54,India North
2020-07-30,Titanium,Biomedical,CUST8619,672.81,1330.19,India North
2023-05-18,Zirconium,Automotive,CUST2876,1004.41,886.48,India North
2021-01-20,Titanium,Automotive,CUST1420,720.82,1561.64,India North
2022-08-19,Aluminum,Biomedical,CUST7498,1261.93,874.1,EU
2023-04-03,Titanium,Aerospace,CUST4978,826.98,1475.86,US West
2022-04-13,Aluminum,Automotive,CUST2983,623.3,2146.17,US West
2023-07-05,Aluminum,Aerospace,CUST9728,1126.49,467.54,EU
2024-04-27,Aluminum,Automotive,CUST9289,942.37,1083.06,India North
2022-07-15,Zirconium,Aerospace,CUST9031,1093.55,882.58,EU
2023-03-04,Zirconium,Automotive,CUST8532,1713.28,572.5,US West
2022-09-02,Titanium,Automotive,CUST9548,1099.14,1041.79,India North
2019-11-22,Zirconium,Biomedical,CUST8921,398.85,2109.24,US West
2022-09-19,Zirconium,Biomedical,CUST5397,1344.99,816.67,US West
2022-09-16,Titanium,Aerospace,CUST8385,968.74,1338.31,EU
2019-03-20,Zirconium,Biomedical,CUST7209,850.13,1062.17,US West
2021-11-30,Titanium,Automotive,CUST3979,910.37,1094.25,EU
2021-06-30,Titanium,Automotive,CUST6576,756.45,1239.74,EU
2020-09-02,Aluminum,Biomedical,CUST1166,900.8,1046.18,EU
2019-01-09,Titanium,Aerospace,CUST7658,852.56,1618.25,India North
2020-09-01,Aluminum,Aerospace,CUST8800,1006.71,1157.0,US West
2023-11-20,Aluminum,Automotive,CUST1282,584.63,1834.74,EU
2021-03-25,Zirconium,Aerospace,CUST4986,1024.76,1249.82,EU
2023-07-21,Aluminum,Biomedical,CUST8753,998.83,883.08,EU
2020-07-03,Aluminum,Automotive,CUST6419,1158.41,786.61,EU
2020-01-25,Aluminum,Automotive,CUST6023,523.1,2081.83,EU
2023-08-17,Titanium,Aerospace,CUST4155,1004.9,1312.3,US West
2024-01-13,Titanium,Biomedical,CUST4033,881.27,1080.73,US West
2020-10-31,Titanium,Biomedical,CUST5530,983.59,969.77,EU
2023-09-26,Aluminum,Biomedical,CUST5636,947.97,935.87,US West
2022-03-10,Titanium,Automotive,CUST6912,727.87,1603.01,India North
2021-01-20,Zirconium,Aerospace,CUST9751,1042.01,471.9,US West
2020-03-07,Zirconium,Aerospace,CUST5786,1184.11,703.88,India North
2021-07-09,Titanium,Biomedical,CUST2680,932.21,1047.92,EU
2019-02-16,Titanium,Biomedical,CUST8690,545.6,1578.54,EU
2020-09-09,Zirconium,Automotive,CUST1841,1797.61,458.29,India North
2023-01-13,Zirconium,Aerospace,CUST7565,993.45,915.01,India North
2024-05-02,Titanium,Biomedical,CUST1878,490.9,1757.4,US West
2019-04-26,Titanium,Biomedical,CUST2395,2537.63,379.3,EU
2020-04-30,Titanium,Biomedical,CUST4697,812.06,1287.12,EU
2019-05-29,Aluminum,Automotive,CUST8253,680.64,1391.24,EU
2023-04-20,Aluminum,Automotive,CUST1986,584.56,1706.79,EU
2023-02-19,Aluminum,Aerospace,CUST4457,793.73,1961.86,India North
2022-07-23,Aluminum,Aerospace,CUST4929,978.44,1369.94,India North
2022-09-16,Aluminum,Aerospace,CUST1043,1019.17,1015.15,India North
2020-12-21,Zirconium,Biomedical,CUST8699,644.4,1321.51,US West
2024-01-20,Titanium,Aerospace,CUST5632,1255.98,725.54,EU
2022-11-17,Zirconium,Aerospace,CUST4824,875.51,1442.29,US West
2022-08-20,Aluminum,Biomedical,CUST4241,2536.34,529.3,US West
2020-08-30,Titanium,Biomedical,CUST3441,509.63,1816.5,India North
2022-10-20,Zirconium,Aerospace,CUST1977,924.75,1513.87,India North
2021-08-14,Zirconium,Biomedical,CUST5728,523.29,1603.08,US West
2023-02-24,Titanium,Automotive,CUST5982,1734.98,395.19,US West
2019-11-29,Zirconium,Automotive,CUST9847,626.96,1588.41,US West
2023-08-30,Zirconium,Aerospace,CUST1653,1177.24,749.85,US West
2019-06-16,Zirconium,Biomedical,CUST5102,494.06,1825.93,EU
2020-02-05,Titanium,Aerospace,CUST1339,703.48,2054.7,US West
2019-11-19,Aluminum,Automotive,CUST1659,693.45,1940.73,US West
2019-08-07,Titanium,Automotive,CUST8245,1182.62,815.86,US West
2019-09-25,Titanium,Biomedical,CUST9056,498.25,1818.04,EU
2023-09-16,Zirconium,Automotive,CUST6460,1815.78,508.36,EU
2019-06-06,Aluminum,Aerospace,CUST6403,1233.45,390.68,India North
2021-07-30,Aluminum,Automotive,CUST7561,687.78,1861.22,EU
2020-02-22,Aluminum,Aerospace,CUST2442,726.22,1637.66,EU
2021-04-01,Zirconium,Automotive,CUST7622,1073.12,983.58,India North
2019-08-02,Aluminum,Aerospace,CUST9889,1065.17,1723.07,US West
2024-03-18,Zirconium,Aerospace,CUST9494,753.84,1293.01,India North
2021-12-18,Aluminum,Automotive,CUST8242,1791.01,398.93,US West
2023-12-19,Titanium,Aerospace,CUST9998,1099.29,970.78,EU
2021-02-19,Zirconium,Automotive,CUST8941,490.65,1917.5,US West
2021-09-21,Titanium,Biomedical,CUST4920,873.05,1166.36,US West
2022-03-30,Titanium,Automotive,CUST1224,676.41,1632.44,US West
2022-05-30,Zirconium,Aerospace,CUST2858,1317.28,481.19,India North
2024-04-08,Titanium,Biomedical,CUST9165,430.5,1906.66,India North
2023-11-24,Zirconium,Biomedical,CUST5479,604.58,1492.73,US West
2020-04-29,Zirconium,Automotive,CUST8483,606.89,1882.78,India North
2020-07-15,Titanium,Automotive,CUST9327,677.25,1808.31,India North
2022-11-16,Titanium,Aerospace,CUST7798,980.55,747.48,EU
2020-02-25,Aluminum,Automotive,CUST5634,1879.35,424.61,India North
2022-12-06,Zirconium,Biomedical,CUST9022,980.35,974.83,US West
2019-01-12,Titanium,Automotive,CUST8935,614.27,1124.13,US West
2021-07-26,Zirconium,Biomedical,CUST7180,1359.19,850.75,US West
2021-03-10,Zirconium,Aerospace,CUST4912,1108.54,403.97,US West
2021-03-16,Zirconium,Aerospace,CUST1715,1192.79,902.54,EU
2023-09-02,Aluminum,Automotive,CUST7246,621.25,1953.84,US West
2020-09-21,Aluminum,Biomedical,CUST9115,785.74,1265.72,India North
2021-03-01,Titanium,Biomedical,CUST6439,1691.35,592.22,US West
2020-04-05,Titanium,Automotive,CUST9617,942.06,1166.27,India North
2024-02-09,Zirconium,Aerospace,CUST3361,1236.48,470.25,US West
2019-01-13,Aluminum,Aerospace,CUST8692,819.59,2020.73,India North
2022-02-03,Zirconium,Automotive,CUST7512,683.87,1948.83,US West
2020-03-16,Titanium,Automotive,CUST9742,707.08,1495.97,US West
2019-04-25,Zirconium,Biomedical,CUST8994,550.87,1835.69,US West
2021-06-14,Aluminum,Aerospace,CUST2121,913.46,1205.55,US West
2020-07-01,Aluminum,Biomedical,CUST4727,289.32,2090.79,EU
2024-04-13,Titanium,Automotive,CUST2646,556.17,1802.38,India North
2019-09-07,Titanium,Biomedical,CUST1474,410.75,1869.92,EU
2023-09-09,Zirconium,Aerospace,CUST6873,963.95,1215.35,EU
2019-11-08,Zirconium,Aerospace,CUST9702,853.83,2140.93,India North
2022-06-16,Aluminum,Biomedical,CUST3785,3081.29,410.73,India North
2019-10-18,Titanium,Biomedical,CUST4945,873.67,1215.54,EU
2019-02-21,Aluminum,Aerospace,CUST8555,1337.47,441.16,India North
2021-10-24,Zirconium,Automotive,CUST1153,509.95,1927.01,EU
2023-10-31,Zirconium,Automotive,CUST9955,1076.78,936.92,US West
2019-06-08,Titanium,Automotive,CUST5901,1043.47,871.57,EU
2022-08-27,Zirconium,Biomedical,CUST8484,1705.52,643.29,EU
2021-07-22,Zirconium,Aerospace,CUST8916,800.66,1853.48,EU
2023-04-21,Titanium,Automotive,CUST6881,827.0,1188.74,US West
2019-02-25,Zirconium,Biomedical,CUST1359,703.05,1306.67,EU
2021-09-27,Aluminum,Automotive,CUST1132,717.81,1811.25,EU
2022-02-11,Aluminum,Biomedical,CUST9138,492.07,1493.94,India North
2019-01-14,Zirconium,Aerospace,CUST6772,743.56,1725.56,US West
2020-08-20,Aluminum,Aerospace,CUST5106,796.69,1424.36,US West
2020-07-14,Aluminum,Biomedical,CUST3240,1316.05,769.65,US West
2023-06-17,Titanium,Biomedical,CUST1645,693.9,1414.68,US West
2019-06-26,Zirconium,Aerospace,CUST6977,827.51,665.75,US West
2022-05-14,Titanium,Aerospace,CUST6352,833.32,1576.38,EU
2019-08-06,Zirconium,Aerospace,CUST3165,994.0,1259.3,India North
2019-05-29,Aluminum,Automotive,CUST9221,593.55,2154.73,US West
2023-12-11,Zirconium,Aerospace,CUST8894,1011.71,516.86,EU
2020-06-03,Zirconium,Biomedical,CUST2886,687.01,1471.13,EU
2022-07-10,Titanium,Aerospace,CUST7511,919.2,1652.59,India North
2022-01-01,Aluminum,Automotive,CUST7464,830.66,1441.0,India North
2023-07-02,Zirconium,Biomedical,CUST8451,399.46,2120.15,India North
2020-09-30,Aluminum,Biomedical,CUST5295,758.56,1273.22,US West
2019-05-28,Zirconium,Biomedical,CUST2775,749.44,1346.01,EU
2019-02-05,Titanium,Automotive,CUST6374,874.93,1190.79,India North
2024-01-04,Aluminum,Aerospace,CUST2035,824.89,1052.93,US West
2022-01-24,Zirconium,Biomedical,CUST7689,730.7,1179.7,EU
2019-01-25,Titanium,Aerospace,CUST5986,1262.18,438.72,India North
2024-05-02,Titanium,Aerospace,CUST9807,967.83,1784.51,India North
2019-12-29,Zirconium,Automotive,CUST9850,1511.91,627.25,EU
2024-01-26,Aluminum,Biomedical,CUST3531,608.63,1407.88,US West
2019-05-01,Zirconium,Biomedical,CUST9017,3038.0,371.32,India North
2020-03-04,Zirconium,Automotive,CUST7070,1415.31,591.13,India North
2020-11-16,Zirconium,Automotive,CUST6942,518.41,2173.84,India North
2019-06-05,Aluminum,Automotive,CUST6876,1038.6,920.97,US West
2019-01-10,Zirconium,Automotive,CUST3001,722.76,1437.25,India North
2019-11-26,Zirconium,Aerospace,CUST4475,1215.96,468.48,US West
2023-12-12,Aluminum,Biomedical,CUST1828,2593.96,390.95,India North
2020-01-31,Zirconium,Aerospace,CUST4362,740.41,1535.31,India North
2024-02-19,Aluminum,Aerospace,CUST4538,1032.91,732.65,US West
2022-09-16,Titanium,Automotive,CUST1046,613.63,1559.94,India North
2021-02-09,Titanium,Aerospace,CUST5106,836.4,1624.85,US West
2019-06-13,Titanium,Aerospace,CUST1422,964.51,1395.38,US West
2020-09-26,Titanium,Automotive,CUST6304,1755.76,562.77,India North
2020-11-14,Titanium,Automotive,CUST3076,718.65,1635.42,India North
2020-12-09,Zirconium,Biomedical,CUST2041,1787.23,611.98,India North
2022-04-27,Zirconium,Automotive,CUST2786,741.23,1539.24,US West
2023-09-29,Aluminum,Aerospace,CUST1710,999.98,960.45,US West
2021-04-25,Aluminum,Biomedical,CUST8504,392.4,2130.04,EU
2023-07-28,Titanium,Aerospace,CUST7580,873.68,1836.55,EU
2023-12-28,Aluminum,Aerospace,CUST8267,758.14,2191.87,EU
2023-09-12,Titanium,Automotive,CUST3430,676.75,1312.33,US West
2024-01-23,Titanium,Automotive,CUST9984,1043.35,895.62,US West
2022-05-16,Zirconium,Automotive,CUST9692,1144.17,666.54,US West
2020-05-25,Zirconium,Biomedical,CUST8048,422.25,1965.52,US West
2021-09-29,Aluminum,Aerospace,CUST4522,897.98,1552.67,US West
2021-05-20,Zirconium,Aerospace,CUST6553,887.82,1559.26,EU
2019-05-02,Zirconium,Automotive,CUST2557,553.07,2074.45,EU
2021-11-02,Zirconium,Automotive,CUST5176,641.66,1683.08,US West
2023-06-07,Titanium,Biomedical,CUST2099,742.19,1300.67,EU
2023-09-16,Titanium,Aerospace,CUST2582,1129.44,778.43,EU
2019-09-30,Aluminum,Automotive,CUST1982,1431.43,599.82,India North
2021-02-19,Aluminum,Biomedical,CUST3002,691.26,1217.01,EU
2024-01-09,Zirconium,Biomedical,CUST1842,1107.14,934.79,EU
2022-11-03,Aluminum,Automotive,CUST2697,803.01,1135.31,EU
2022-09-03,Aluminum,Aerospace,CUST8900,718.15,2148.62,India North
2022-11-01,Titanium,Automotive,CUST7022,1551.97,633.72,US West
2022-08-28,Zirconium,Biomedical,CUST8030,1182.35,882.68,India North
2020-04-12,Aluminum,Biomedical,CUST1430,1755.89,693.22,US West
2019-01-26,Aluminum,Biomedical,CUST1474,611.68,1622.86,EU
2023-01-22,Zirconium,Biomedical,CUST6567,1067.38,940.74,EU
2022-08-31,Titanium,Aerospace,CUST7566,888.64,1915.46,India North
2022-04-21,Titanium,Biomedical,CUST1502,719.81,1186.8,US West
2023-09-05,Aluminum,Biomedical,CUST7163,833.68,1138.85,India North
2019-06-30,Zirconium,Automotive,CUST7062,785.63,1344.22,India North
2022-08-20,Aluminum,Automotive,CUST2391,601.47,1795.51,US West
2023-07-03,Titanium,Aerospace,CUST1815,930.5,1608.09,India North
2019-10-03,Titanium,Automotive,CUST7947,2205.25,383.36,EU
2021-11-11,Aluminum,Automotive,CUST5475,788.83,1380.54,EU
2023-09-13,Aluminum,Aerospace,CUST8043,1164.03,949.21,EU
2019-02-11,Zirconium,Biomedical,CUST8972,1824.49,602.06,US West
2022-09-28,Aluminum,Automotive,CUST4612,638.35,1974.51,India North
2022-09-21,Aluminum,Aerospace,CUST4349,990.35,1433.83,India North
2023-08-07,Titanium,Aerospace,CUST5742,925.24,1569.44,EU
2023-02-24,Titanium,Aerospace,CUST8055,1113.22,1086.4,EU
2021-07-30,Titanium,Automotive,CUST4770,974.33,1041.25,US West
2020-03-04,Aluminum,Biomedical,CUST2180,947.57,1068.02,EU
2021-07-11,Aluminum,Aerospace,CUST1307,900.09,1114.41,EU
2019-10-15,Titanium,Automotive,CUST8033,882.78,1100.4,US West
2023-05-16,Zirconium,Biomedical,CUST7843,653.63,1448.36,US West
2020-03-10,Titanium,Automotive,CUST6321,606.9,1778.26,India North
2022-05-28,Aluminum,Automotive,CUST6928,593.74,2010.23,US West
2021-10-03,Zirconium,Aerospace,CUST8138,870.97,1563.87,India North
2023-03-13,Zirconium,Biomedical,CUST7484,767.99,1352.76,India North
2022-05-13,Zirconium,Biomedical,CUST4630,417.48,2050.22,EU
2022-03-24,Titanium,Aerospace,CUST2868,1143.45,857.66,US West
2019-09-06,Aluminum,Aerospace,CUST6752,830.0,1077.37,EU
2023-07-15,Aluminum,Aerospace,CUST2684,967.42,846.87,India North
2023-05-05,Zirconium,Aerospace,CUST3504,836.09,1942.97,India North
2021-02-26,Aluminum,Aerospace,CUST9095,1071.94,669.72,India North
2022-06-25,Aluminum,Biomedical,CUST6295,1006.08,987.34,EU
2023-10-16,Aluminum,Automotive,CUST8205,621.78,1771.58,India North
2019-05-18,Zirconium,Automotive,CUST5961,565.91,1987.28,US West
2020-03-16,Zirconium,Biomedical,CUST6766,669.01,1220.1,India North
2021-12-25,Titanium,Automotive,CUST8404,586.89,1966.11,EU
2021-03-12,Titanium,Automotive,CUST2257,800.14,1590.88,EU
2021-03-13,Titanium,Biomedical,CUST9307,457.71,1917.61,US West
2023-04-10,Zirconium,Biomedical,CUST1672,427.47,2028.4,US West
2022-05-17,Aluminum,Biomedical,CUST6267,611.09,1719.58,India North
2022-09-24,Zirconium,Biomedical,CUST2013,1257.32,993.37,India North
2019-06-15,Titanium,Automotive,CUST2381,727.72,1312.96,US West
2020-05-16,Aluminum,Aerospace,CUST5059,1012.51,1671.18,India North
2023-07-15,Zirconium,Automotive,CUST9564,577.92,1943.28,US West
2020-10-24,Titanium,Automotive,CUST5634,813.55,1104.84,EU
2019-07-13,Zirconium,Automotive,CUST1857,728.74,1621.81,US West
2019-02-11,Aluminum,Biomedical,CUST2079,384.8,1973.36,EU
2020-09-11,Titanium,Biomedical,CUST7333,847.84,1123.54,US West
2022-10-31,Zirconium,Biomedical,CUST3463,393.55,2108.2,US West
2023-08-04,Titanium,Biomedical,CUST3317,405.64,2122.91,US West
2023-04-17,Zirconium,Biomedical,CUST7421,396.16,1919.57,US West
2022-09-15,Aluminum,Biomedical,CUST6072,2642.01,387.74,India North
2023-05-25,Zirconium,Biomedical,CUST3093,482.14,1945.32,EU
2019-02-15,Aluminum,Biomedical,CUST9624,1306.12,874.4,US West
2023-06-28,Aluminum,Biomedical,CUST9331,1557.23,759.76,EU
2020-05-22,Titanium,Automotive,CUST3953,1695.4,414.38,EU
2023-05-04,Zirconium,Automotive,CUST4711,569.49,1846.61,India North
2023-03-28,Titanium,Aerospace,CUST2657,1021.72,1830.67,EU
2023-04-03,Aluminum,Biomedical,CUST1618,573.65,1467.88,US West
2019-07-27,Zirconium,Biomedical,CUST7172,391.87,1880.24,India North
