Date,Alloy,Type,Grade,Supplier,Sector,Application,BuyerID,Quantity_kg,UnitPrice_INR,BaseCost_INR,Margin_INR_per_kg,TotalMargin,Region,Month,WeekNum,IsHoliday,IndustryCycle
2019-01-13,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST8692,819.59,2020.73,958.97,1061.760009765625,870207.9149178714,"India North",Jan-19,2,0,"Peak"
2019-01-14,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST5096,668.57,1343.76,1135.75,208.010009765625,139069.25375251472,"India North",Jan-19,3,0,"Lean"
2019-01-14,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST6772,743.56,1725.56,813.92,911.6400756835938,677859.0924496092,"US West",Jan-19,3,0,"Lean"
2019-01-17,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST2085,1193.8,759.26,1135.75,-376.489990234375,-449453.7687250972,"India North",Jan-19,3,0,"Stable"
2019-01-17,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST5713,1527.2,624.51,958.97,-334.4599609375,-510787.2360126972,"India North",Jan-19,3,0,"Stable"
2019-01-19,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST1107,1229.79,854.9,813.92,40.98004150390625,50396.84684187174,"India North",Jan-19,3,0,"Stable"
2019-01-19,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST2160,831.79,1902.53,1135.75,766.780029296875,637799.9437206537,EU,Jan-19,3,0,"Stable"
2019-01-25,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST2045,833.89,1376.39,958.97,417.4200439453125,348082.40656010807,EU,Jan-19,4,0,"Stable"
2019-01-25,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST9499,978.86,1097.6,813.92,283.67999267578125,277682.9934751466,"US West",Jan-19,4,0,"Stable"
2019-01-25,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST5986,1262.18,438.72,1135.75,-697.0299987792969,-879777.3612973876,"India North",Jan-19,4,0,"Stable"
2019-01-26,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST3010,472.61,2004.9,813.92,1190.9800415039062,562869.0599691644,"US West",Jan-19,4,1,"Lean"
2019-01-26,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST1567,1035.68,1105.7,813.92,291.77996826171875,302190.6932010725,"India North",Jan-19,4,1,"Lean"
2019-01-26,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST4304,598.74,1936.66,1135.75,800.9100341796875,479536.86604335904,"US West",Jan-19,4,1,"Lean"
2019-01-26,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST1474,611.68,1622.86,958.97,663.8900146484375,406088.23929768056,EU,Jan-19,4,1,"Lean"
2019-01-27,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST5693,1134.67,843.31,958.97,-115.65997314453125,-131235.90681061894,"US West",Jan-19,4,0,"Lean"
2019-01-29,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST5011,1034.59,1118.97,958.97,160,165534.39453125,"US West",Jan-19,5,1,"Stable"
2019-01-29,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST8245,739.35,2106.64,813.92,1292.7199096679688,955772.433652468,EU,Jan-19,5,1,"Stable"
2019-01-29,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST4960,863.85,1971.14,958.97,1012.1700439453125,874363.0677509755,EU,Jan-19,5,1,"Stable"
2019-02-01,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST2545,1717.28,432.82,813.92,-381.0999755859375,-654455.3772392571,"India North",Feb-19,5,0,"Peak"
2019-02-02,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST5061,597.42,2150.32,958.97,1191.35009765625,711736.3549818099,"India North",Feb-19,5,1,"Peak"
2019-02-03,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST3110,859.04,1070.87,1135.75,-64.8800048828125,-55734.517968945205,EU,Feb-19,5,1,"Stable"
2019-02-04,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST3459,540.75,2059.54,1135.75,923.7900390625,499539.4636230469,"US West",Feb-19,6,1,"Peak"
2019-02-05,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST5009,541.09,2193.96,1135.75,1058.2099609375,572586.8561823964,"US West",Feb-19,6,0,"Lean"
2019-02-05,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST6374,874.93,1190.79,1135.75,55.0400390625,48156.18097382784,"India North",Feb-19,6,0,"Lean"
2019-02-06,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST6047,393.77,2197.69,958.97,1238.719970703125,487770.7492547855,"India North",Feb-19,6,1,"Peak"
2019-02-07,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST4450,1428.64,735.51,958.97,-223.4599609375,-319243.8418670893,"India North",Feb-19,6,0,"Peak"
2019-02-11,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST1869,693.27,1634.9,958.97,675.9300537109375,468602.0415379405,EU,Feb-19,7,0,"Stable"
2019-02-11,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST2079,384.8,1973.36,958.97,1014.3900146484375,390337.26525402814,EU,Feb-19,7,0,"Stable"
2019-02-11,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST8972,1824.49,602.06,813.92,-211.8599853515625,-386536.4226051271,"US West",Feb-19,7,0,"Stable"
2019-02-12,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST6041,969.46,1652.56,813.92,838.6400756835938,813028.0261993669,"US West",Feb-19,7,0,"Peak"
2019-02-12,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST2063,2190.7,392.71,1135.75,-743.0400085449219,-1627777.71043811,"US West",Feb-19,7,0,"Peak"
2019-02-12,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST8126,1030.53,887.88,958.97,-71.0899658203125,-73260.34455952048,EU,Feb-19,7,0,"Peak"
2019-02-13,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST1040,668.62,1307.3,813.92,493.38006591796875,329883.7772649899,"US West",Feb-19,7,1,"Peak"
2019-02-13,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST5669,784.26,1453.94,1135.75,318.18994140625,249543.64655458927,EU,Feb-19,7,1,"Peak"
2019-02-14,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST7201,682.25,1653.87,1135.75,518.1199951171875,353487.3666687012,"US West",Feb-19,7,0,"Peak"
2019-02-15,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST6966,904.26,1758.05,1135.75,622.300048828125,562721.0482304692,"US West",Feb-19,7,0,"Stable"
2019-02-15,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST1795,1019.08,941.29,1135.75,-194.46002197265625,-198170.32251518592,"US West",Feb-19,7,0,"Stable"
2019-02-15,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST9624,1306.12,874.4,958.97,-84.5699462890625,-110458.49783413112,"US West",Feb-19,7,0,"Stable"
2019-02-16,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST8690,545.6,1578.54,1135.75,442.7900390625,241586.2345021963,EU,Feb-19,7,0,"Peak"
2019-02-21,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST8555,1337.47,441.16,958.97,-517.8099670410156,-692555.2814481333,"India North",Feb-19,8,0,"Peak"
2019-02-23,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST3518,759.28,1696.05,958.97,737.080078125,559650.1833128929,"India North",Feb-19,8,0,"Stable"
2019-02-25,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST1894,1727.49,557.65,813.92,-256.26995849609375,-442703.7880997807,"US West",Feb-19,9,0,"Stable"
2019-02-25,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST1359,703.05,1306.67,813.92,492.75006103515625,346427.9243957512,EU,Feb-19,9,0,"Stable"
2019-02-26,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST5960,507.92,2166.77,958.97,1207.800048828125,613465.8170187995,"India North",Feb-19,9,0,"Lean"
2019-02-26,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST8872,1620.1,567.3,958.97,-391.66998291015625,-634544.5297504887,"US West",Feb-19,9,0,"Lean"
2019-02-27,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST4164,699.78,1682.8,813.92,868.8800659179688,608024.9179835469,"US West",Feb-19,9,0,"Lean"
2019-03-02,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST2525,1122.31,481.11,813.92,-332.80999755859375,-373516.00786057115,"US West",Mar-19,9,0,"Stable"
2019-03-04,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST2235,791.58,2035.78,958.97,1076.81005859375,852381.3245841563,"US West",Mar-19,10,1,"Lean"
2019-03-04,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST3392,2312.93,461.14,958.97,-497.8299560546875,-1151445.8062262237,EU,Mar-19,10,1,"Lean"
2019-03-07,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST4401,588.48,2098.6,958.97,1139.630126953125,670649.5148509741,"US West",Mar-19,10,0,"Lean"
2019-03-07,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST8191,1064.23,1306.73,958.97,347.760009765625,370096.6284006834,EU,Mar-19,10,0,"Lean"
2019-03-10,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST9971,1522.99,588.53,958.97,-370.43994140625,-564176.3227447271,"US West",Mar-19,10,1,"Peak"
2019-03-10,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST1844,1681.48,617.71,958.97,-341.25994873046875,-573821.7719260752,"India North",Mar-19,10,1,"Peak"
2019-03-10,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST7154,991.26,1084.87,813.92,270.95001220703125,268581.911746338,EU,Mar-19,10,1,"Peak"
2019-03-15,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST6309,1292.27,446.85,813.92,-367.0699768066406,-474353.52609725296,EU,Mar-19,11,0,"Peak"
2019-03-20,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST7209,850.13,1062.17,813.92,248.25006103515625,211044.82559997588,"US West",Mar-19,12,0,"Stable"
2019-03-24,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST3906,733.44,1358.92,1135.75,223.1700439453125,163681.83757609874,"India North",Mar-19,12,0,"Stable"
2019-03-24,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST6154,1300.71,494.75,813.92,-319.16998291015625,-415147.5760034919,"India North",Mar-19,12,0,"Stable"
2019-03-24,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST1944,1160.59,884.53,958.97,-74.43994140625,-86394.24905234575,EU,Mar-19,12,0,"Stable"
2019-03-25,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST3011,362.2,2081.52,1135.75,945.77001953125,342557.91261926293,EU,Mar-19,13,0,"Lean"
2019-03-25,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST1781,586.52,2146.9,813.92,1332.9799194335938,781819.4083809555,EU,Mar-19,13,0,"Lean"
2019-03-26,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST9584,830.65,1006.99,958.97,48.02001953125,39887.83039599657,"India North",Mar-19,13,0,"Peak"
2019-03-27,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST6142,1431.59,418.92,958.97,-540.0499572753906,-773130.0998771377,EU,Mar-19,13,0,"Peak"
2019-03-28,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST7950,1053.01,962.75,958.97,3.780029296875,3980.4086868166924,"India North",Mar-19,13,1,"Stable"
2019-03-28,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST4534,983.55,1266.34,1135.75,130.5899658203125,128441.75928845257,EU,Mar-19,13,1,"Stable"
2019-03-31,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST3078,870.84,1339.38,813.92,525.4600219726562,457591.61964614317,EU,Mar-19,13,1,"Lean"
2019-04-03,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST7745,1292.43,792.13,958.97,-166.8399658203125,-215628.98598627746,EU,Apr-19,14,1,"Peak"
2019-04-03,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST6785,482.29,2151.96,1135.75,1016.2099609375,490107.9107439816,EU,Apr-19,14,1,"Peak"
2019-04-05,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST8552,1157.1,961.04,813.92,147.1199951171875,170232.5427583009,"India North",Apr-19,14,1,"Lean"
2019-04-07,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST9341,1012.06,941.36,813.92,127.44000244140625,128976.92855971679,"India North",Apr-19,14,0,"Lean"
2019-04-11,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST3470,554.68,1959.33,813.92,1145.4099731445312,635335.9955145754,"India North",Apr-19,15,0,"Lean"
2019-04-14,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST5595,1040.79,1020.03,813.92,206.11004638671875,214517.2832300067,"India North",Apr-19,15,1,"Peak"
2019-04-14,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST6340,739.42,1847.9,958.97,888.9300537109375,657292.6451232657,EU,Apr-19,15,1,"Peak"
2019-04-15,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST3444,942.13,656.24,1135.75,-479.510009765625,-451760.76784184575,"India North",Apr-19,16,0,"Peak"
2019-04-15,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST6298,790.71,1151.19,813.92,337.26995849609375,266682.73629316315,"US West",Apr-19,16,0,"Peak"
2019-04-15,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST2040,592.42,2096.58,958.97,1137.610107421875,673942.9603972882,"US West",Apr-19,16,0,"Peak"
2019-04-16,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST5067,974.21,1123.24,958.97,164.27001953125,160033.49933698773,"India North",Apr-19,16,1,"Lean"
2019-04-18,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST5842,473.48,1857.37,813.92,1043.4500122070312,494052.7232434694,"US West",Apr-19,16,0,"Peak"
2019-04-19,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST1505,845.88,1284.55,1135.75,148.800048828125,125866.98602929711,"US West",Apr-19,16,0,"Stable"
2019-04-21,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST5036,941.56,1180.57,958.97,221.5999755859375,208649.67247167975,EU,Apr-19,16,0,"Lean"
2019-04-21,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST6282,3018.65,370.4,813.92,-443.5199890136719,-1338831.5715236217,EU,Apr-19,16,0,"Lean"
2019-04-21,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST4939,857.45,1716.74,813.92,902.8200073242188,774123.0263009034,"US West",Apr-19,16,0,"Lean"
2019-04-22,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST1701,1419.81,535.39,1135.75,-600.3599853515625,-852397.1459793448,"US West",Apr-19,17,0,"Stable"
2019-04-22,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST1273,766.99,1208.9,1135.75,73.1500244140625,56105.33651098609,"India North",Apr-19,17,0,"Stable"
2019-04-23,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST1606,1071.77,943.41,813.92,129.489990234375,138783.48936259747,"US West",Apr-19,17,0,"Peak"
2019-04-23,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST3527,1005.77,959.42,813.92,145.5,146339.53784179688,EU,Apr-19,17,0,"Peak"
2019-04-25,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST1257,1098.6,696.27,1135.75,-439.47998046875,-482812.69581347704,"US West",Apr-19,17,0,"Lean"
2019-04-25,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST8994,550.87,1835.69,813.92,1021.7699584960938,562862.412047632,"US West",Apr-19,17,0,"Lean"
2019-04-26,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST3248,733.73,1939.24,813.92,1125.3200073242188,825681.0269950926,"US West",Apr-19,17,0,"Stable"
2019-04-26,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST5076,686.71,1164.27,1135.75,28.52001953125,19584.983238965273,"India North",Apr-19,17,0,"Stable"
2019-04-26,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST2395,2537.63,379.3,1135.75,-756.4500122070312,-1919590.155830443,EU,Apr-19,17,0,"Stable"
2019-04-26,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST4501,654.77,1907.35,813.92,1093.4299926757812,715945.1776603758,"US West",Apr-19,17,0,"Stable"
2019-04-28,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST1927,970.04,1085.54,1135.75,-50.2099609375,-48705.66940456629,"US West",Apr-19,17,1,"Stable"
2019-04-28,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST7275,1151.11,1117.47,1135.75,-18.280029296875,-21042.324256151915,"India North",Apr-19,17,1,"Stable"
2019-04-29,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST8143,583.82,2042.62,958.97,1083.6500244140625,632656.5651903078,EU,Apr-19,18,0,"Stable"
2019-04-29,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST4256,496.63,2198.77,958.97,1239.800048828125,615721.9043032229,EU,Apr-19,18,0,"Stable"
2019-04-29,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST8325,763.74,1283.77,958.97,324.800048828125,248062.7861201167,EU,Apr-19,18,0,"Stable"
2019-05-01,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST9017,3038,371.32,813.92,-442.5999755859375,-1344618.7258300781,"India North",May-19,18,1,"Stable"
2019-05-02,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Aerospace,Automotive,CUST9220,1020.05,858.08,958.97,-100.88995361328125,-102912.79595166072,"US West",May-19,18,0,"Stable"
2019-05-02,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST1478,573.18,1691.97,958.97,733,420140.93463134766,EU,May-19,18,0,"Stable"
2019-05-02,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST2557,553.07,2074.45,813.92,1260.5299682617188,697161.318778906,EU,May-19,18,0,"Stable"
2019-05-02,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST1319,717.53,1486.9,958.97,527.9300537109375,378805.6669059098,EU,May-19,18,0,"Stable"
2019-05-03,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST8303,770.58,1259.94,813.92,446.01995849609375,343694.0672403313,"India North",May-19,18,0,"Peak"
2019-05-05,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST6319,394.68,1996.01,1135.75,860.260009765625,339527.4143535644,"India North",May-19,18,0,"Stable"
2019-05-07,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST1074,663.52,1478.26,813.92,664.3400268554688,440802.9075945318,EU,May-19,19,1,"Lean"
2019-05-08,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST5105,944.35,1506.11,813.92,692.1900024414062,653669.611906372,EU,May-19,19,1,"Lean"
2019-05-10,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST3913,519.05,1916.55,813.92,1102.6300659179688,572320.122254882,"India North",May-19,19,1,"Stable"
2019-05-11,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Biomedical,Nuclear,CUST2609,1378.22,815.93,813.92,2.010009765625,2770.2356002926826,"US West",May-19,19,1,"Lean"
2019-05-11,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST8121,1119.41,969.26,1135.75,-166.489990234375,-186370.56565883756,"India North",May-19,19,1,"Lean"
2019-05-12,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Aerospace,Aerospace,CUST7291,1084.1,1016.26,1135.75,-119.489990234375,-129539.09549584985,"India North",May-19,19,0,"Peak"
2019-05-13,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Automotive,Aerospace,CUST2770,1820.82,354.87,1135.75,-780.8800048828125,-1421841.8885489255,EU,May-19,20,0,"Stable"
2019-05-13,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST7821,2151.65,481.4,958.97,-477.5699768066406,-1027563.3939583153,"US West",May-19,20,0,"Stable"
2019-05-14,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Aerospace,Nuclear,CUST7338,1233.95,835.87,813.92,21.95001220703125,27085.21649108827,"US West",May-19,20,0,"Lean"
2019-05-16,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST3290,1066.52,925.3,1135.75,-210.45001220703125,-224449.15112939477,"US West",May-19,20,1,"Lean"
2019-05-17,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Biomedical,Automotive,CUST1712,2443.9,499.44,958.97,-459.52996826171875,-1123045.244558841,"US West",May-19,20,0,"Peak"
2019-05-18,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST5961,565.91,1987.28,813.92,1173.3600463867188,664016.152339574,"US West",May-19,20,0,"Stable"
2019-05-18,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST6718,606.84,1773.11,958.97,814.1400146484375,494052.74835336953,"India North",May-19,20,0,"Stable"
2019-05-19,Aluminum,Mg_6061,"ASTM B221","AlloySphere Inc.",Automotive,Automotive,CUST9951,1053.68,994.68,958.97,35.71002197265625,37626.937870167196,EU,May-19,20,0,"Lean"
2019-05-19,Zirconium,Zr702,"ASTM B551","MetalCore Ltd.",Automotive,Nuclear,CUST6427,813.87,1144.25,813.92,330.33001708984375,268845.6893959716,"US West",May-19,20,0,"Lean"
2019-05-19,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST2130,1530.96,741.68,1135.75,-394.07000732421875,-603305.4030197263,"India North",May-19,20,0,"Lean"
2019-05-21,Titanium,Ti6Al4V,"ASTM B348",FusionMetals,Biomedical,Aerospace,CUST4680,475.79,1878.5,1135.75,742.75,353393.0288467407,EU,May-19,21,1,"Lean"
